Date,2021 Traveler Throughput,2020 Traveler Throughput,2019 Traveler Throughput
4/20/2021,"1,082,443","92,859","2,227,475"
4/19/2021,"1,412,500","99,344","2,594,171"
4/18/2021,"1,572,383","105,382","2,356,802"
4/17/2021,"1,277,815","97,236","1,988,205"
4/16/2021,"1,468,218","106,385","2,457,133"
4/15/2021,"1,491,435","95,085","2,616,158"
4/14/2021,"1,152,703","90,784","2,317,381"
4/13/2021,"1,085,034","87,534","2,208,688"
4/12/2021,"1,468,972","102,184","2,484,580"
4/11/2021,"1,561,495","90,510","2,446,801"
4/10/2021,"1,378,237","93,645","2,059,142"
4/9/2021,"1,549,181","108,977","2,590,499"
4/8/2021,"1,510,829","104,090","2,487,398"
4/7/2021,"1,230,939","94,931","2,229,276"
4/6/2021,"1,195,306","97,130","2,091,056"
4/5/2021,"1,561,959","108,310","2,384,091"
4/4/2021,"1,543,474","122,029","2,462,929"
4/3/2021,"1,397,958","118,302","2,011,715"
4/2/2021,"1,580,785","129,763","2,476,884"
4/1/2021,"1,562,239","124,021","2,411,500"
3/31/2021,"1,278,113","136,023","2,151,626"
3/30/2021,"1,130,520","146,348","2,026,256"
3/29/2021,"1,406,234","154,080","2,360,053"
3/28/2021,"1,574,228","180,002","2,510,294"
3/27/2021,"1,408,198","184,027","2,172,920"
3/26/2021,"1,535,156","199,644","2,538,384"
3/25/2021,"1,444,744","203,858","2,487,162"
3/24/2021,"1,164,954","239,234","2,273,811"
3/23/2021,"1,076,453","279,018","2,151,913"
3/22/2021,"1,360,290","331,431","2,434,370"
3/21/2021,"1,543,136","454,516","2,542,643"
3/20/2021,"1,373,259","548,132","2,227,181"
3/19/2021,"1,477,841","593,167","2,559,307"
3/18/2021,"1,413,141","620,883","2,513,231"
3/17/2021,"1,146,539","779,631","2,320,885"
3/16/2021,"1,092,548","953,699","2,177,929"
3/15/2021,"1,267,345","1,257,823","2,465,709"
3/14/2021,"1,345,284","1,519,192","2,545,742"
3/13/2021,"1,227,484","1,485,553","2,274,658"
3/12/2021,"1,409,771","1,714,372","2,634,215"
3/11/2021,"1,286,894","1,788,456","2,503,924"
3/10/2021,"974,221","1,702,686","2,187,298"
3/9/2021,"825,745","1,617,220","2,122,898"
3/8/2021,"1,119,303","1,909,363","2,378,673"
3/7/2021,"1,278,557","2,119,867","2,485,430"
3/6/2021,"992,406","1,844,811","2,156,262"
3/5/2021,"1,168,734","2,198,517","2,543,689"
3/4/2021,"1,107,534","2,130,015","2,402,692"
3/3/2021,"826,924","1,877,401","2,143,619"
3/2/2021,"744,812","1,736,393","1,979,558"
3/1/2021,"1,049,692","2,089,641","2,257,920"
2/28/2021,"1,190,682","2,353,150","2,307,393"
